grammy_year,category,work_title,artist,winner,match_type,wasabi_title,wasabi_artist,wasabi_album,genre,album_genre,bpm,gain,publication_date,language,decade
1958,Record Of The Year,Witchcraft (Single),Frank Sinatra,False,song,Witchcraft,Frank Sinatra,All The Way,,Classic Pop,115.0,-16.8,2000-03-02,eng,1950s
1958,Record Of The Year,Fever (Single),Peggy Lee,False,song,Fever,Peggy Lee,All Aglow Again!,"[""Rhythm and blues"",""Jazz""]",,136.0,-19.1,2003-03-03,,1950s
1958,Record Of The Year,Catch A Falling Star,Perry Como,False,song,Catch A Falling Star,Perry Como,20 Greatest Hits,[],,119.491,-16.8,2004-09-25,eng,1950s
1958,Record Of The Year,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,True,song,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,Nel Blu Dipinto Di Blu,"[""Pop music""]",Pop,,,0000-00-00,,1950s
1958,Album Of The Year,Come Fly With Me (Album),Frank Sinatra,False,song,Come Fly With Me,Frank Sinatra,Come Fly With Me,"[""Traditional pop music""]",Classic Pop,132.5,-10.9,2007-01-01,eng,1950s
1958,Album Of The Year,Only The Lonely (Album),Frank Sinatra,False,song,Only The Lonely,Frank Sinatra,Frank Sinatra Sings For Only The Lonely,,Classic Pop,,,2001-09-20,eng,1950s
1958,Album Of The Year,The Music From Peter Gunn,Henry Mancini,True,album,Peter Gunn,Henry Mancini,The Music From Peter Gunn,,Jazz,117.1,-10.8,2010-11-15,eng,1950s
1958,"Best Jazz Performance, Group",Basie,Count Basie,True,song,Basie,Count Basie,Live At El Morocco,,,,,2009-06-16,,1950s
1958,"Best Vocal Performance, Female",Everybody Loves A Lover (Single),Doris Day,False,song,Everybody Loves A Lover,Doris Day,16 Most Requested Songs,"[""Popular music""]",Pop,92.0,-17.4,1999-06-01,eng,1950s
1958,"Best Vocal Performance, Female",I Wish You Love (Single),Keely Smith,False,song,I Wish You Love,Keely Smith,I Wish You Love,,,74.0,,2003-03-03,,1950s
1958,"Best Vocal Performance, Female",Fever (Single),Peggy Lee,False,song,Fever,Peggy Lee,All Aglow Again!,"[""Rhythm and blues"",""Jazz""]",,136.0,-19.1,2003-03-03,,1950s
1958,"Best Vocal Performance, Male",Nel Blu Dipinto Di Blu (Volare) (Single),Domenico Modugno,False,song,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,Nel Blu Dipinto Di Blu,"[""Pop music""]",Pop,,,0000-00-00,,1950s
1958,"Best Vocal Performance, Male",Come Fly With Me (Album),Frank Sinatra,False,song,Come Fly With Me,Frank Sinatra,Come Fly With Me,"[""Traditional pop music""]",Classic Pop,132.5,-10.9,2007-01-01,eng,1950s
1958,"Best Vocal Performance, Male",Witchcraft (Single),Frank Sinatra,False,song,Witchcraft,Frank Sinatra,All The Way,,Classic Pop,115.0,-16.8,2000-03-02,eng,1950s
1958,"Best Vocal Performance, Male",Catch A Falling Star,Perry Como,True,song,Catch A Falling Star,Perry Como,20 Greatest Hits,[],,119.491,-16.8,2004-09-25,eng,1950s
1958,Best Performance By A Vocal Group Or Chorus,Tom Dooley (Single),The Kingston Trio,False,song,Tom Dooley,The Kingston Trio,The Kingston Trio,[],Folk,125.0,-16.1,1992-02-03,,1950s
1958,Best Performance By An Orchestra,Peter Gunn (Album),Henry Mancini,False,song,Peter Gunn,Henry Mancini,The Music From Peter Gunn,,Jazz,117.1,-10.8,2010-11-15,eng,1950s
1958,Best Performance By A Dance Band,Peter Gunn,Ray Anthony,False,song,Peter Gunn,Ray Anthony,Other Songs,,,121.0,-16.3,1997-02-04,,1950s
1958,Best Performance By A Dance Band,Basie,Count Basie,True,song,Basie,Count Basie,Live At El Morocco,,,,,2009-06-16,,1950s
1958,"Best Performance, Documentary Or Spoken Word",Green Christmas (Album),Stan Freberg,False,song,Green Christmas,Stan Freberg,Tip Of The Freberg: The Stan Freberg Collection 1951-1998,,Comedy,105.0,,2008-12-19,,1950s
1958,Best Country & Western Performance,Oh Lonesome Me (Single),Don Gibson,False,song,Oh Lonesome Me,Don Gibson,Oh Lonesome Me,"[""Country music"",""Southern rock""]",,104.7,-19.2,1991-01-01,,1950s
1958,Best Country & Western Performance,Tom Dooley,The Kingston Trio,True,song,Tom Dooley,The Kingston Trio,The Kingston Trio,[],Folk,125.0,-16.1,1992-02-03,,1950s
1958,Best Comedy Performance,Green Christmas (Album),Stan Freberg,False,song,Green Christmas,Stan Freberg,Tip Of The Freberg: The Stan Freberg Collection 1951-1998,,Comedy,105.0,,2008-12-19,,1950s
1958,Best Rhythm & Blues Performance,The End,Earl Grant,False,song,(At) The End (Of A Rainbow),Earl Grant,Other Songs,,,91.7,-16.6,0000-00-00,eng,1950s
1958,Best Rhythm & Blues Performance,Looking Back,"Nat ""King"" Cole",False,song,Looking Back,Nat King Cole,The Nat King Cole Story,,,,,2008-06-24,eng,1950s
1958,Best Rhythm & Blues Performance,Tequila,The Champs,True,song,Tequila,The Champs,"Go, Champs, Go!","[""Rock en español"",""Instrumental rock""]",Rock &apos;N&apos; Roll,181.3,-23.5,2006-01-01,,1950s
1959,Best Performance - Folk,Tennessee Stud,Eddy Arnold,False,song,Tennessee Stud,Eddy Arnold,Thereby Hangs A Tale (RCA Victor),,,94.0,-15.2,2000-10-16,,1950s
1959,Record Of The Year,A Fool Such As I (Single),Elvis Presley,False,song,(Now And Then There's) A Fool Such As I,Elvis Presley,"Elvis' Gold Records, Vol. 2","[""Country music""]",Rock &apos;N&apos; Roll,127.6,-14.7,2005-01-13,eng,1950s
1959,Record Of The Year,High Hopes (Single),Frank Sinatra,False,song,High Hopes,Frank Sinatra,All The Way,,Classic Pop,138.3,-10.2,2009-06-02,eng,1950s
1959,Record Of The Year,The Three Bells,The Browns,False,song,The Three Bells,The Browns,Sweet Sounds By The Browns,[],Country,108.5,-14.0,2010-07-16,,1950s
1959,Record Of The Year,Mack The Knife,Bobby Darin,True,song,Mack The Knife,Bobby Darin,That's All,"[""Jazz"",""Pop music""]",Pop,168.8,-11.8,0000-00-00,eng,1950s
1959,Album Of The Year,Come Dance With Me,Frank Sinatra,True,song,Come Dance With Me,Frank Sinatra,Come Dance With Me!,"[""Jazz""]",Classic Pop,,,2007-01-01,eng,1950s
1959,"Best Vocal Performance, Female",But Not For Me,Ella Fitzgerald,True,song,But Not For Me,Ella Fitzgerald,Ella: The Legendary Decca Recordings,,Jazz,79.0,-15.9,2008-02-04,eng,1950s
1959,"Best Vocal Performance, Male",Mack The Knife (Single),Bobby Darin,False,song,Mack The Knife,Bobby Darin,That's All,"[""Jazz"",""Pop music""]",Pop,168.8,-11.8,0000-00-00,eng,1950s
1959,"Best Vocal Performance, Male",Guess Who,Jesse Belvin,False,song,Guess Who?,Jesse Belvin,Other Songs,,,,,0000-00-00,,1950s
1959,"Best Vocal Performance, Male",Come Dance With Me,Frank Sinatra,True,song,Come Dance With Me,Frank Sinatra,Come Dance With Me!,"[""Jazz""]",Classic Pop,,,2007-01-01,eng,1950s
