recipe_id,co2e_kg,n_ingr,n_sr,n_gen,usda_pct,generic_pct
RCP00001,23.741449999999997,11,7,4,63.6,36.4
RCP00002,21.6773065,7,2,5,28.6,71.4
RCP00003,8.427875,8,5,3,62.5,37.5
RCP00004,1.4279549999999999,8,3,5,37.5,62.5
RCP00005,12.980324999999999,12,7,5,58.3,41.7
RCP00006,21.221244999999996,12,5,7,41.7,58.3
RCP00007,2.41362,9,6,3,66.7,33.3
RCP00008,8.348098499999999,7,4,3,57.1,42.9
RCP00009,31.353069999999995,7,3,4,42.9,57.1
RCP00010,22.037213,7,3,4,42.9,57.1
RCP00011,16.586361,11,7,4,63.6,36.4
RCP00012,33.84853,12,6,6,50.0,50.0
RCP00013,20.732559,8,4,4,50.0,50.0
RCP00014,11.738083,7,3,4,42.9,57.1
RCP00015,8.28683,6,4,2,66.7,33.3
RCP00016,58.3299525,7,3,4,42.9,57.1
RCP00017,10.106620000000001,13,6,7,46.2,53.8
RCP00018,8.659659999999999,9,6,3,66.7,33.3
RCP00019,1.79243,8,5,3,62.5,37.5
RCP00020,22.477597999999997,19,8,11,42.1,57.9
RCP00021,62.988778499999995,8,4,4,50.0,50.0
RCP00022,53.01749,9,6,3,66.7,33.3
RCP00023,4.172845,17,9,8,52.9,47.1
RCP00024,5.001283999999999,13,8,5,61.5,38.5
RCP00025,1.15529,6,2,4,33.3,66.7
RCP00026,10.80356,14,9,5,64.3,35.7
RCP00027,3.3545499999999997,10,3,7,30.0,70.0
RCP00028,10.355455000000001,12,6,6,50.0,50.0
RCP00029,14.4629725,8,4,4,50.0,50.0
RCP00030,3.2063099999999998,9,3,6,33.3,66.7
RCP00031,25.140463999999998,11,5,6,45.5,54.5
RCP00032,3.6548799999999995,14,9,5,64.3,35.7
RCP00033,12.19284,9,2,7,22.2,77.8
RCP00034,1.9744865,9,5,4,55.6,44.4
RCP00035,1.8052849999999998,14,11,3,78.6,21.4
RCP00036,1.7239140000000002,9,5,4,55.6,44.4
RCP00037,10.880825000000002,16,9,7,56.2,43.8
RCP00038,10.090985499999999,11,4,7,36.4,63.6
RCP00039,2.032552,5,3,2,60.0,40.0
RCP00040,3.2844800000000007,7,5,2,71.4,28.6
RCP00041,15.762759999999998,8,5,3,62.5,37.5
RCP00042,10.439475999999999,8,5,3,62.5,37.5
RCP00043,37.471582,15,9,6,60.0,40.0
RCP00044,9.433720500000002,9,4,5,44.4,55.6
RCP00045,10.624199,6,2,4,33.3,66.7
RCP00046,19.394795,15,11,4,73.3,26.7
RCP00047,18.294369999999997,8,4,4,50.0,50.0
RCP00048,6.29231,17,7,10,41.2,58.8
RCP00049,1.7617300000000002,12,7,5,58.3,41.7
RCP00050,41.87524500000001,15,8,7,53.3,46.7
RCP00051,14.445829999999997,8,4,4,50.0,50.0
RCP00052,1.304385,8,5,3,62.5,37.5
RCP00053,2.562557,14,9,5,64.3,35.7
RCP00054,23.266007000000002,14,6,8,42.9,57.1
RCP00055,12.3697,5,2,3,40.0,60.0
RCP00056,17.947940000000003,8,4,4,50.0,50.0
RCP00057,1.34177,6,3,3,50.0,50.0
RCP00058,0.8992130000000002,5,3,2,60.0,40.0
RCP00059,20.99251,13,9,4,69.2,30.8
RCP00060,12.492859999999997,11,7,4,63.6,36.4
RCP00061,10.493388,13,7,6,53.8,46.2
RCP00062,5.376789999999999,13,7,6,53.8,46.2
RCP00063,4.149229999999999,6,3,3,50.0,50.0
RCP00064,49.197911,6,4,2,66.7,33.3
RCP00065,1.6445499999999997,8,4,4,50.0,50.0
RCP00066,20.956909999999997,12,6,6,50.0,50.0
RCP00067,18.754510499999995,12,4,8,33.3,66.7
RCP00068,5.26485,5,3,2,60.0,40.0
RCP00069,25.11175,14,7,7,50.0,50.0
RCP00070,20.85596,10,6,4,60.0,40.0
RCP00071,11.078454999999998,9,5,4,55.6,44.4
RCP00072,0.8489000000000001,6,4,2,66.7,33.3
RCP00073,7.925104000000001,13,10,3,76.9,23.1
RCP00074,4.709618,12,3,9,25.0,75.0
RCP00075,1.67783,8,5,3,62.5,37.5
RCP00076,5.5663085,6,2,4,33.3,66.7
RCP00077,15.940672,13,3,10,23.1,76.9
RCP00078,50.459619999999994,13,7,6,53.8,46.2
RCP00079,6.0652125,13,6,7,46.2,53.8
RCP00080,3.6223475,13,8,5,61.5,38.5
RCP00081,24.233226000000002,8,4,4,50.0,50.0
RCP00082,6.866879000000001,9,4,5,44.4,55.6
RCP00083,8.30088,6,3,3,50.0,50.0
RCP00084,23.279525,8,3,5,37.5,62.5
RCP00085,1.47063,7,4,3,57.1,42.9
RCP00086,1.6335899999999999,7,4,3,57.1,42.9
RCP00087,16.3094385,7,3,4,42.9,57.1
RCP00088,28.907796999999995,13,7,6,53.8,46.2
RCP00089,13.699993,12,9,3,75.0,25.0
RCP00090,3.48046,11,6,5,54.5,45.5
RCP00091,17.51916,10,5,5,50.0,50.0
RCP00092,5.143502,14,11,3,78.6,21.4
RCP00093,18.7395,16,10,6,62.5,37.5
RCP00094,2.39255,6,3,3,50.0,50.0
RCP00095,2.1442849999999996,7,4,3,57.1,42.9
RCP00096,9.239249999999998,5,2,3,40.0,60.0
RCP00097,21.691417,11,6,5,54.5,45.5
RCP00098,8.425228999999998,9,5,4,55.6,44.4
RCP00099,17.192,19,9,10,47.4,52.6
RCP00100,9.6023275,7,4,3,57.1,42.9
RCP00101,4.67934,14,7,7,50.0,50.0
RCP00102,2.3345355000000003,6,2,4,33.3,66.7
RCP00103,32.30435,8,2,6,25.0,75.0
RCP00104,3.106104,7,4,3,57.1,42.9
RCP00105,3.5307699999999995,9,4,5,44.4,55.6
RCP00106,8.402443,12,8,4,66.7,33.3
RCP00107,42.855999499999996,12,9,3,75.0,25.0
RCP00108,4.6619649999999995,14,9,5,64.3,35.7
RCP00109,22.464809999999996,9,6,3,66.7,33.3
RCP00110,24.063125999999993,18,10,8,55.6,44.4
RCP00111,9.231522,9,5,4,55.6,44.4
RCP00112,22.337894999999996,14,5,9,35.7,64.3
RCP00113,7.101100000000001,10,7,3,70.0,30.0
RCP00114,13.195205000000001,6,3,3,50.0,50.0
RCP00115,36.543651499999996,19,7,12,36.8,63.2
RCP00116,2.015336,14,7,7,50.0,50.0
RCP00117,4.489216,14,8,6,57.1,42.9
RCP00118,11.7893255,7,4,3,57.1,42.9
RCP00119,23.141222999999997,9,5,4,55.6,44.4
RCP00120,12.944863,11,6,5,54.5,45.5
RCP00121,31.553048999999998,6,3,3,50.0,50.0
RCP00122,1.01776,6,2,4,33.3,66.7
RCP00123,6.852548,18,7,11,38.9,61.1
RCP00124,13.046224,14,9,5,64.3,35.7
RCP00125,9.597574999999999,10,5,5,50.0,50.0
RCP00126,25.413092500000005,16,7,9,43.8,56.2
RCP00127,9.066299999999998,7,4,3,57.1,42.9
RCP00128,29.665924999999998,9,7,2,77.8,22.2
RCP00129,53.261604500000004,17,8,9,47.1,52.9
RCP00130,1.269636,7,4,3,57.1,42.9
RCP00131,13.299825,8,4,4,50.0,50.0
RCP00132,5.7995965,11,7,4,63.6,36.4
RCP00133,1.42088,8,4,4,50.0,50.0
RCP00134,6.784425999999999,15,7,8,46.7,53.3
RCP00135,2.42254,9,5,4,55.6,44.4
RCP00136,9.4533905,18,10,8,55.6,44.4
RCP00137,31.013326,8,2,6,25.0,75.0
RCP00138,15.068065,8,5,3,62.5,37.5
RCP00139,18.766531999999998,8,3,5,37.5,62.5
RCP00140,2.0114,6,3,3,50.0,50.0
RCP00141,38.463866,8,4,4,50.0,50.0
RCP00142,17.1694,7,3,4,42.9,57.1
RCP00143,17.334273,14,9,5,64.3,35.7
RCP00144,1.720975,5,3,2,60.0,40.0
RCP00145,13.0152015,8,5,3,62.5,37.5
RCP00146,7.80667,10,7,3,70.0,30.0
RCP00147,4.019342,9,5,4,55.6,44.4
RCP00148,55.570267,18,6,12,33.3,66.7
RCP00149,15.971847999999998,16,8,8,50.0,50.0
RCP00150,24.551325,16,7,9,43.8,56.2
RCP00151,10.132195999999997,13,5,8,38.5,61.5
RCP00152,12.879089999999998,8,4,4,50.0,50.0
RCP00153,3.4678199999999997,10,6,4,60.0,40.0
RCP00154,23.69829,6,4,2,66.7,33.3
RCP00155,2.806404,17,8,9,47.1,52.9
RCP00156,8.159089999999999,13,8,5,61.5,38.5
RCP00157,13.195789999999999,11,5,6,45.5,54.5
RCP00158,11.212927,14,8,6,57.1,42.9
RCP00159,4.617057999999999,8,4,4,50.0,50.0
RCP00160,4.4688989999999995,12,6,6,50.0,50.0
RCP00161,4.075653,12,6,6,50.0,50.0
RCP00162,5.03758,9,4,5,44.4,55.6
RCP00163,4.9575000000000005,14,9,5,64.3,35.7
RCP00164,2.654209999999999,11,8,3,72.7,27.3
RCP00165,22.300933,8,3,5,37.5,62.5
RCP00166,12.6738545,6,3,3,50.0,50.0
RCP00167,8.305169999999999,6,3,3,50.0,50.0
RCP00168,2.2435099999999997,8,4,4,50.0,50.0
RCP00169,1.666181,5,2,3,40.0,60.0
RCP00170,8.66522,6,3,3,50.0,50.0
RCP00171,4.8313925,13,9,4,69.2,30.8
RCP00172,0.764096,8,6,2,75.0,25.0
RCP00173,0.83585,7,4,3,57.1,42.9
RCP00174,15.57428,5,3,2,60.0,40.0
RCP00175,20.900209999999998,12,6,6,50.0,50.0
RCP00176,4.7414520000000016,13,8,5,61.5,38.5
RCP00177,9.663499999999999,8,3,5,37.5,62.5
RCP00178,8.451315,12,4,8,33.3,66.7
RCP00179,3.4912905,17,11,6,64.7,35.3
RCP00180,1.4678199999999997,8,6,2,75.0,25.0
RCP00181,1.6427550000000002,9,7,2,77.8,22.2
RCP00182,38.593574999999994,8,3,5,37.5,62.5
RCP00183,2.4191000000000003,5,2,3,40.0,60.0
RCP00184,14.469260000000002,13,5,8,38.5,61.5
RCP00185,45.42163,14,8,6,57.1,42.9
RCP00186,1.0718400000000001,5,3,2,60.0,40.0
RCP00187,18.601028,13,8,5,61.5,38.5
RCP00188,5.8944149999999995,7,4,3,57.1,42.9
RCP00189,15.080199999999998,18,10,8,55.6,44.4
RCP00190,13.211979999999999,14,5,9,35.7,64.3
RCP00191,11.980619,9,6,3,66.7,33.3
RCP00192,2.28735,5,2,3,40.0,60.0
RCP00193,22.708918999999995,9,5,4,55.6,44.4
RCP00194,1.8158255,7,2,5,28.6,71.4
RCP00195,16.199078999999998,11,7,4,63.6,36.4
RCP00196,22.722078999999997,15,9,6,60.0,40.0
RCP00197,1.13571,6,4,2,66.7,33.3
RCP00198,1.8964649999999996,8,6,2,75.0,25.0
RCP00199,21.16704,6,4,2,66.7,33.3
RCP00200,27.394323500000002,16,10,6,62.5,37.5
RCP00201,2.10801,9,4,5,44.4,55.6
RCP00202,36.402829999999994,7,3,4,42.9,57.1
RCP00203,54.68186399999999,13,9,4,69.2,30.8
RCP00204,17.134519999999995,14,7,7,50.0,50.0
RCP00205,4.610461000000001,13,8,5,61.5,38.5
