recipe_id,co2e_kg,n_ingr,n_sr,n_exact,n_gen,usda_pct,exact_mass_pct,generic_pct
RCP00001,23.482249999999997,11,7,2,2,63.6,18.2,18.2
RCP00002,21.6773065,7,2,2,3,28.6,28.6,42.9
RCP00003,8.431775,8,5,1,2,62.5,12.5,25.0
RCP00004,1.255795,8,3,3,2,37.5,37.5,25.0
RCP00005,12.942525,12,7,1,4,58.3,8.3,33.3
RCP00006,21.307644999999997,12,5,4,3,41.7,33.3,25.0
RCP00007,2.15442,9,6,1,2,66.7,11.1,22.2
RCP00008,8.3354625,7,4,2,1,57.1,28.6,14.3
RCP00009,31.351449999999996,7,3,2,2,42.9,28.6,28.6
RCP00010,22.037213,7,3,1,3,42.9,14.3,42.9
RCP00011,16.586361,11,7,1,3,63.6,9.1,27.3
RCP00012,33.88253,12,6,2,4,50.0,16.7,33.3
RCP00013,20.704209,8,4,1,3,50.0,12.5,37.5
RCP00014,11.99548,7,3,2,2,42.9,28.6,28.6
RCP00015,8.58234,6,4,1,1,66.7,16.7,16.7
RCP00016,58.42188,7,3,1,3,42.9,14.3,42.9
RCP00017,6.034420000000002,13,6,2,5,46.2,15.4,38.5
RCP00018,5.067260000000001,9,6,1,2,66.7,11.1,22.2
RCP00019,1.57175,8,5,1,2,62.5,12.5,25.0
RCP00020,22.4812,19,8,1,10,42.1,5.3,52.6
RCP00021,62.976142499999995,8,4,1,3,50.0,12.5,37.5
RCP00022,53.01801,9,6,1,2,66.7,11.1,22.2
RCP00023,3.9073949999999997,17,9,5,3,52.9,29.4,17.6
RCP00024,4.848879999999999,13,8,1,4,61.5,7.7,30.8
RCP00025,0.94615,6,2,2,2,33.3,33.3,33.3
RCP00026,8.501000000000001,14,9,2,3,64.3,14.3,21.4
RCP00027,3.156859999999999,10,3,2,5,30.0,20.0,50.0
RCP00028,10.365860000000001,12,6,2,4,50.0,16.7,33.3
RCP00029,14.268572499999998,8,4,1,3,50.0,12.5,37.5
RCP00030,3.02455,9,3,2,4,33.3,22.2,44.4
RCP00031,25.123263999999995,11,5,1,5,45.5,9.1,45.5
RCP00032,3.3382899999999998,14,9,2,3,64.3,14.3,21.4
RCP00033,12.250440000000001,9,2,2,5,22.2,22.2,55.6
RCP00034,1.655095,9,5,2,2,55.6,22.2,22.2
RCP00035,1.8091849999999998,14,11,1,2,78.6,7.1,14.3
RCP00036,1.63735,9,5,2,2,55.6,22.2,22.2
RCP00037,10.879205,16,9,3,4,56.2,18.8,25.0
RCP00038,9.8000575,11,4,3,4,36.4,27.3,36.4
RCP00039,2.09516,5,3,1,1,60.0,20.0,20.0
RCP00040,3.2922800000000008,7,5,1,1,71.4,14.3,14.3
RCP00041,16.05827,8,5,1,2,62.5,12.5,25.0
RCP00042,6.19879,8,5,1,2,62.5,12.5,25.0
RCP00043,37.86109,15,9,2,4,60.0,13.3,26.7
RCP00044,9.433720500000002,9,4,1,4,44.4,11.1,44.4
RCP00045,7.431439000000001,6,2,1,3,33.3,16.7,50.0
RCP00046,19.394795,15,11,1,3,73.3,6.7,20.0
RCP00047,18.277869999999997,8,4,1,3,50.0,12.5,37.5
RCP00048,6.07359,17,7,5,5,41.2,29.4,29.4
RCP00049,1.51161,12,7,2,3,58.3,16.7,25.0
