recipe_id,recipe_name,cuisine,carbon_tier,total_co2e_kg,calories,protein_g,fat_g,sugar_g,fiber_g,carbohydrates_g,sodium_mg,avg_rating,total_reviews,is_vegetarian,is_vegan,servings,estimated_cost_usd
RCP00001,Sajji,Pakistani,high,23.741449999999993,500.0,45.0,28.0,18.0,10.0,54.0,691.0,3.6,2070.0,False,False,7.0,9.2
RCP00002,Dal Makhani,Pakistani,high,21.6773065,264.0,43.0,21.0,11.0,13.0,78.0,435.0,4.1,326.0,False,False,2.0,10.79
RCP00003,Aloo Gosht,Pakistani,high,8.427874999999998,596.0,24.0,30.0,13.0,4.0,42.0,1268.0,4.7,4701.0,False,False,4.0,6.45
RCP00004,Sindhi Biryani,Pakistani,low,1.2228549999999998,522.0,13.0,27.0,8.0,7.0,34.0,1311.0,4.0,3963.0,True,False,7.0,9.06
RCP00005,Haleem,Pakistani,high,12.980324999999997,277.0,32.0,16.0,6.0,3.0,33.0,1475.0,4.9,4312.0,False,False,6.0,13.48
RCP00006,Sajji,Pakistani,high,20.883844999999997,750.0,24.0,37.0,9.0,6.0,48.0,430.0,3.5,3372.0,False,False,7.0,10.44
RCP00007,Chicken Tikka,Pakistani,medium,2.41362,744.0,28.0,17.0,12.0,2.0,40.0,995.0,4.0,2462.0,False,False,3.0,13.66
RCP00008,Chicken Tikka,Pakistani,high,8.348098499999999,491.0,22.0,25.0,15.0,5.0,78.0,779.0,3.8,1041.0,False,False,6.0,11.48
RCP00009,Paya,Pakistani,high,31.35307,347.0,31.0,19.0,15.0,14.0,57.0,1267.0,4.0,4156.0,False,False,6.0,9.67
RCP00010,Aloo Gosht,Pakistani,high,21.193746,774.0,44.0,34.0,6.0,11.0,36.0,447.0,4.1,3488.0,False,False,5.0,14.03
RCP00011,Palak Paneer,Pakistani,high,16.583361,701.0,45.0,22.0,16.0,4.0,44.0,619.0,4.6,1236.0,False,False,4.0,16.89
RCP00012,Sindhi Biryani,Pakistani,high,33.848530000000004,540.0,46.0,37.0,5.0,14.0,78.0,582.0,3.8,2838.0,False,False,5.0,5.25
RCP00013,Nihari,Pakistani,high,20.721759000000002,384.0,37.0,30.0,7.0,12.0,64.0,893.0,4.8,2914.0,False,False,6.0,20.81
RCP00014,Pakistani Main Course Special 14,Pakistani,high,11.738083,408.0,37.0,31.0,11.0,2.0,55.0,1409.0,3.7,1640.0,False,True,4.0,21.41
RCP00015,Haleem,Pakistani,high,8.28683,226.0,41.0,32.0,14.0,11.0,40.0,419.0,3.6,678.0,False,False,2.0,21.44
RCP00016,Chicken Tikka,Pakistani,high,58.319152499999994,304.0,33.0,19.0,13.0,10.0,34.0,382.0,4.9,1712.0,False,False,4.0,3.18
RCP00017,Chicken Tikka,Pakistani,high,10.051870000000005,703.0,37.0,21.0,5.0,6.0,48.0,987.0,5.0,4099.0,False,False,5.0,20.5
RCP00018,Chicken Tikka,Pakistani,high,8.55466,377.0,49.0,26.0,15.0,8.0,42.0,1306.0,3.9,4786.0,False,False,7.0,14.28
RCP00019,Sajji,Pakistani,low,1.7834299999999996,205.0,18.0,24.0,9.0,9.0,53.0,587.0,4.4,1239.0,True,False,5.0,7.57
RCP00020,Chicken Tikka,Pakistani,high,19.235125000000004,391.0,46.0,24.0,18.0,14.0,76.0,599.0,3.7,3849.0,False,False,4.0,23.82
RCP00021,Paya,Pakistani,high,51.2875785,447.0,20.0,16.0,6.0,6.0,33.0,1383.0,4.6,1279.0,False,False,5.0,3.43
RCP00022,Karahi,Pakistani,medium,2.62379,494.0,21.0,24.0,11.0,12.0,47.0,1320.0,4.1,493.0,False,False,4.0,4.16
RCP00023,Pakistani Main Course Special 23,Pakistani,medium,3.9012449999999994,331.0,9.0,10.0,12.0,2.0,64.0,318.0,3.7,4996.0,True,False,3.0,12.15
RCP00024,Karahi,Pakistani,medium,4.191273999999999,624.0,15.0,12.0,17.0,2.0,39.0,235.0,4.7,3804.0,True,False,3.0,21.65
RCP00025,Lahori Chargha,Pakistani,low,1.15529,282.0,10.0,23.0,18.0,10.0,31.0,1188.0,4.4,4633.0,True,False,6.0,22.99
RCP00026,Palak Paneer,Pakistani,high,10.45756,694.0,23.0,31.0,13.0,12.0,46.0,1270.0,3.8,1694.0,False,False,5.0,3.41
RCP00027,Pakistani Main Course Special 27,Pakistani,medium,3.2129499999999998,429.0,17.0,13.0,5.0,8.0,54.0,514.0,5.0,1756.0,True,False,4.0,10.74
RCP00028,Nihari,Pakistani,high,10.355455000000003,333.0,24.0,19.0,12.0,5.0,32.0,930.0,4.3,133.0,False,False,5.0,15.26
